Nr,Sample,area [µm$^2$],volume[µm$^3$],extent,solidity,ch_0_PCA_1,ch_0_PCA_2,ch_0_PCA_3,ch_0_PCA_4,ch_0_PCA_5,ch_0_PCA_6
0,1,6858.509765625,21168,0.589572192513369,0.7354085603112841,1.856994375766519,0.4835045733126344,0.2530623398947228,0.6883290613684356,0.6845697812702073,-0.15088534295818837
0,108,7644.15478515625,21856,0.5150829562594268,0.6128308658591296,1.9758044448984096,2.366367131756635,1.0541203098058933,-0.9637338277493868,1.014172189945341,2.6090294141798838
0,114,7690.84521484375,26000,0.6377551020408163,0.7632691404415218,1.8503704021706353,0.6871822254798879,1.140585704022833,0.8132443302060928,0.8692770386263547,0.7061060296759588
0,118,6906.37841796875,19440,0.5672268907563025,0.6845070422535211,1.9266748663716768,0.7144026409699545,0.006094955845477675,0.5882418890690374,0.8897643624009939,0.1475027519898183
0,119,7652.6337890625,27312,0.6436651583710408,0.8262342691190707,1.5873712186568922,0.0451480201628068,1.3236505977556816,1.3131109235694718,0.5759725061732578,-0.9520671509568351
0,121,8489.2548828125,27920,0.6579939668174962,0.7279933249895703,1.8716157683770478,1.512495300774526,1.6044356122845145,0.022681286841850053,0.5853678773584085,2.4793432513176756
0,156,7058.75390625,19568,0.5112876254180602,0.624298111281266,1.9105401300323845,2.5833198188633935,1.0129482370199985,-0.652826870060468,1.2915698513390366,1.9402962833977555
0,169,6582.5361328125,23504,0.6858076563958917,0.8520881670533643,1.4207278370521863,-0.7155704959676541,1.0919577296957943,1.2818546377715245,0.6187282124833193,-1.0728150703587997
0,192,6631.59375,21008,0.6129785247432307,0.7502857142857143,1.6640939267328494,1.3944897787221822,1.5716797704520356,0.32980188057446597,0.38549103321233913,0.10696736449118949
0,206,7901.2021484375,24368,0.5742835595776772,0.6607375271149675,1.9545571378292652,1.6779257469371616,1.1955030120583363,-0.37039290487427196,0.32117954589203596,2.967018441276301
0,209,7733.4033203125,24752,0.5833333333333334,0.6830022075055188,1.8652577626697688,1.775777355469132,1.6128705882542638,-0.5759311535401631,0.08236362329584387,3.2929818535516264
0,21,7231.173828125,23376,0.609511889862328,0.7829581993569131,1.083750629391435,-1.0152559266108774,-0.1908658640692807,1.6175595617122307,1.427528077876292,1.2087740858493539
